#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
495c1bd1608a1dad54d3e2824ce899ef	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Candidatus_Nitrosopumilus	 uncultured_archaeon
a900b6678ce86851fb16bfafb87f3326	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Thiomicrospirales	 Thioglobaceae	 SUP05_cluster	 uncultured_bacterium
c8e360969108fa2125a3d56eb4dad24f	Bacteria	 Actinobacteriota	 Acidimicrobiia	 Actinomarinales	 Actinomarinaceae	 Candidatus_Actinomarina	 uncultured_marine
72143fd9e63fe40c1258948d2f0d79c3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 Clade_I	 Clade_Ia	 uncultured_bacterium
7b6b178fad5599c0e9a734e4fb09fd64	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 NS5_marine_group	 uncultured_marine
4bbec3bb723375416616a87d785ac74a	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Amylibacter	 
0c35cfa523aa27921ef8544a16d1cd36	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Candidatus_Nitrosopumilus	 uncultured_marine
7ec69f2c62aad60e060e588ef687bdd0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 SAR86_clade	 SAR86_clade	 SAR86_clade	 
61e9a50f4346bb3a5b16179b8eca71fa	Bacteria	 Proteobacteria	 Gammaproteobacteria	 SAR86_clade	 SAR86_clade	 SAR86_clade	 uncultured_marine
a140195871278e8fcf9447e42bad8786	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Thiomicrospirales	 Thioglobaceae	 SUP05_cluster	 uncultured_bacterium
1f9d97b07aa566b3b35536b0e7302bb0	Archaea	 Thermoplasmatota	 Thermoplasmata	 Marine_Group_II	 Marine_Group_II	 Marine_Group_II	 
33e3d7409266a86935f571199ff9cc58	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Candidatus_Nitrosopumilus	 
041792056bd7be0d5d925d8a6546e833	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Candidatus_Nitrosopumilus	 
b96ea0d3eaa1a062c1e8411c138f7e28	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	 
